id,name,niche,follower_count,engagement_rate,location,synthetic_data,target_high_performer
3,@av,Fitness,10000,3.5,Yerevan,False,0
4,@lol,Fitness,45678,3.5,Location,False,0
5,William Smith,Food,129000,5.18,"Toronto, CA",True,1
6,Benjamin Johnson,Sports,169000,6.83,"Toronto, CA",True,1
8,Mia Brown,Sports,449000,6.6,Remote,True,1
9,Elijah Garcia,Food,147000,7.03,"Los Angeles, CA",True,1
10,Olivia Davis,Fashion,197000,5.47,"New York, NY",True,1
11,Noah Garcia,Gaming,347000,6.13,"New York, NY",True,1
12,Mia Garcia,Lifestyle,353000,2.9,"Sydney, AU",True,0
13,Sophia Smith,Wellness,139000,2.6,"Berlin, DE",True,0
14,Harper Martinez,Travel,379000,7.31,"New York, NY",True,1
15,Amelia Jones,Tech,210000,5.31,Remote,True,1
16,Oliver Jones,Wellness,291000,4.88,"New York, NY",True,1
17,Liam Williams,Sports,132000,2.29,"New York, NY",True,0
18,Mia Miller,Wellness,194000,3.59,"New York, NY",True,0
19,Amelia Martinez,Gaming,115000,1.44,"Sydney, AU",True,0
20,Noah Brown,Beauty,495000,2.74,"Sydney, AU",True,0
21,Noah Jones,Gaming,212000,6.24,"Austin, TX",True,1
22,Sophia Miller,Travel,312000,1.42,"Toronto, CA",True,0
23,Emma Jones,Gaming,154000,5.0,"Los Angeles, CA",True,1
24,Noah Williams,Travel,76000,3.52,"Los Angeles, CA",True,0
25,Liam Davis,Fashion,128000,6.75,"Toronto, CA",True,1
26,Oliver Williams,Travel,74000,4.98,"London, UK",True,1
27,Noah Davis,Travel,451000,3.21,"Toronto, CA",True,0
28,Amelia Jones,Wellness,205000,6.45,"Toronto, CA",True,1
29,James Jones,Lifestyle,208000,0.6,"Sydney, AU",True,0
30,Noah Garcia,Sports,288000,3.81,"Paris, FR",True,0
31,Amelia Davis,Wellness,360000,7.39,"Tokyo, JP",True,1
32,Oliver Smith,Fashion,48000,4.95,"Austin, TX",True,1
33,Sophia Davis,Travel,270000,4.86,"Sydney, AU",True,1
34,James Garcia,Food,235000,7.85,"Tokyo, JP",True,1
35,Liam Brown,Wellness,231000,3.94,"Los Angeles, CA",True,0
36,Liam Smith,Fitness,15000,4.45,"Los Angeles, CA",True,1
37,Olivia Jones,Wellness,493000,2.92,"Austin, TX",True,0
38,William Johnson,Food,377000,0.52,"Austin, TX",True,0
40,Elijah Davis,Fitness,357000,7.13,"Austin, TX",True,1
41,Olivia Garcia,Sports,455000,1.92,Remote,True,0
42,Emma Williams,Sports,45000,8.04,"Berlin, DE",True,1
43,Benjamin Garcia,Lifestyle,462000,5.83,Remote,True,1
44,Sophia Davis,Sports,467000,7.07,"Los Angeles, CA",True,1
45,Benjamin Rodriguez,Fashion,51000,2.57,Remote,True,0
46,Noah Martinez,Food,426000,3.77,Remote,True,0
47,William Smith,Sports,268000,5.03,"Tokyo, JP",True,1
48,Ava Rodriguez,Lifestyle,394000,6.34,"Berlin, DE",True,1
49,William Smith,Tech,476000,7.24,Remote,True,1
50,Liam Davis,Fitness,424000,2.86,"London, UK",True,0
51,Ava Rodriguez,Beauty,349000,2.6,"Berlin, DE",True,0
52,Sophia Smith,Gaming,20000,3.13,"Sydney, AU",True,0
53,Emma Miller,Fitness,191000,2.56,"Tokyo, JP",True,0
54,Isabella Rodriguez,Fitness,99000,7.14,"New York, NY",True,1
55,Oliver Brown,Lifestyle,354000,8.14,"Toronto, CA",True,1
56,Noah Johnson,Tech,314000,2.95,"London, UK",True,0
57,Noah Smith,Fashion,315000,3.2,"New York, NY",True,0
58,Oliver Johnson,Sports,178000,2.08,"Tokyo, JP",True,0
59,Mia Jones,Food,176000,3.22,"Tokyo, JP",True,0
60,Noah Smith,Fashion,229000,2.3,"Sydney, AU",True,0
61,Oliver Davis,Food,96000,6.58,Remote,True,1
62,Emma Davis,Gaming,491000,4.59,"New York, NY",True,1
63,Benjamin Garcia,Beauty,159000,6.45,"Berlin, DE",True,1
64,Sophia Johnson,Gaming,361000,7.42,Remote,True,1
65,Harper Williams,Fashion,236000,4.6,"Sydney, AU",True,1
66,James Williams,Sports,335000,4.92,"Tokyo, JP",True,1
67,Amelia Martinez,Food,452000,5.31,"Austin, TX",True,1
68,Isabella Davis,Travel,111000,2.03,"New York, NY",True,0
69,James Williams,Gaming,335000,5.28,"Sydney, AU",True,1
70,William Garcia,Fitness,163000,0.59,"New York, NY",True,0
71,William Miller,Tech,105000,1.28,"Tokyo, JP",True,0
72,Isabella Garcia,Fashion,155000,0.57,"Paris, FR",True,0
73,Isabella Martinez,Lifestyle,375000,3.96,"Austin, TX",True,1
74,Emma Johnson,Sports,397000,5.48,Remote,True,1
75,Mia Davis,Food,253000,2.17,"London, UK",True,0
76,Ava Davis,Fitness,81000,7.93,"Berlin, DE",True,1
77,Amelia Davis,Beauty,37000,3.12,"New York, NY",True,0
78,Emma Brown,Food,348000,1.4,"London, UK",True,0
79,James Brown,Fashion,283000,6.81,"London, UK",True,1
80,Olivia Rodriguez,Fitness,427000,1.25,"Paris, FR",True,0
81,Noah Smith,Food,278000,3.59,"Berlin, DE",True,0
82,Elijah Johnson,Travel,260000,1.43,"New York, NY",True,0
83,Mia Rodriguez,Travel,490000,1.0,"Toronto, CA",True,0
84,Olivia Davis,Sports,370000,5.45,Remote,True,1
85,Oliver Miller,Tech,288000,7.25,"London, UK",True,1
86,William Garcia,Beauty,352000,5.05,"London, UK",True,1
87,Liam Garcia,Travel,438000,3.71,"London, UK",True,0
88,William Smith,Sports,20000,8.23,"New York, NY",True,1
89,Sophia Johnson,Beauty,429000,1.8,Remote,True,0
106,Liam Brown,Lifestyle,226000,0.63,Remote,True,0
107,Isabella Garcia,Beauty,349000,6.01,"Sydney, AU",True,1
108,William Johnson,Lifestyle,488000,8.32,"Berlin, DE",True,1
109,Isabella Williams,Gaming,471000,1.23,"New York, NY",True,0
110,Harper Davis,Gaming,382000,2.53,"London, UK",True,0
111,Liam Garcia,Travel,444000,5.17,"Tokyo, JP",True,1
112,Olivia Smith,Travel,283000,5.54,"Tokyo, JP",True,1
113,Elijah Brown,Gaming,146000,0.85,"Tokyo, JP",True,0
114,Oliver Rodriguez,Lifestyle,137000,1.27,"Sydney, AU",True,0
115,Oliver Smith,Tech,26000,0.5,"Berlin, DE",True,0
116,James Smith,Lifestyle,34000,5.34,"New York, NY",True,1
117,Elijah Williams,Fitness,217000,4.31,"Berlin, DE",True,1
118,Amelia Johnson,Wellness,262000,1.11,"Toronto, CA",True,0
119,Oliver Davis,Food,137000,3.48,"Sydney, AU",True,0
120,Isabella Jones,Sports,115000,1.01,"Tokyo, JP",True,0
121,Olivia Brown,Food,28000,2.78,"London, UK",True,0
122,Mia Martinez,Fitness,407000,2.2,"Berlin, DE",True,0
123,Mia Williams,Beauty,359000,6.86,"Austin, TX",True,1
124,Benjamin Rodriguez,Tech,100000,4.83,"London, UK",True,1
125,Harper Brown,Beauty,480000,3.46,"Toronto, CA",True,0
139,@shakira,Fitness,9999,5.0,Daa,False,1
140,avaaa,Fashion,123213,12.0,Daa,False,1
